Open,High,Low,Close,Volume,Date,Hour
2.749,2.749,2.746,2.749,0,2023-09-20,00:00:00
2.749,2.749,2.748,2.749,6,2023-09-20,00:01:00
2.748,2.749,2.748,2.749,13,2023-09-20,00:02:00
2.75,2.75,2.75,2.75,1,2023-09-20,00:03:00
2.751,2.751,2.75,2.75,14,2023-09-20,00:04:00
2.75,2.75,2.75,2.75,2,2023-09-20,00:05:00
2.749,2.752,2.749,2.751,27,2023-09-20,00:06:00
2.751,2.752,2.751,2.752,2,2023-09-20,00:07:00
2.752,2.752,2.752,2.752,3,2023-09-20,00:08:00
2.752,2.754,2.752,2.754,13,2023-09-20,00:09:00
2.755,2.755,2.753,2.753,14,2023-09-20,00:10:00
2.753,2.753,2.751,2.751,17,2023-09-20,00:11:00
2.75,2.753,2.75,2.753,17,2023-09-20,00:12:00
2.752,2.753,2.751,2.752,9,2023-09-20,00:13:00
2.753,2.753,2.753,2.753,2,2023-09-20,00:14:00
2.752,2.755,2.752,2.755,5,2023-09-20,00:15:00
2.754,2.754,2.753,2.753,4,2023-09-20,00:16:00
2.752,2.755,2.752,2.755,2,2023-09-20,00:17:00
2.754,2.755,2.754,2.755,7,2023-09-20,00:18:00
2.754,2.755,2.754,2.755,3,2023-09-20,00:19:00
2.755,2.755,2.755,2.755,2,2023-09-20,00:20:00
2.754,2.755,2.754,2.755,5,2023-09-20,00:21:00
2.754,2.754,2.754,2.754,1,2023-09-20,00:22:00
2.755,2.755,2.755,2.755,1,2023-09-20,00:23:00
2.755,2.759,2.755,2.757,31,2023-09-20,00:24:00
2.756,2.757,2.755,2.756,6,2023-09-20,00:25:00
2.754,2.757,2.752,2.754,28,2023-09-20,00:26:00
2.753,2.753,2.753,2.753,1,2023-09-20,00:27:00
2.754,2.754,2.751,2.753,17,2023-09-20,00:28:00
2.753,2.753,2.752,2.753,6,2023-09-20,00:30:00
2.751,2.752,2.75,2.75,5,2023-09-20,00:31:00
2.752,2.754,2.752,2.754,4,2023-09-20,00:32:00
2.755,2.755,2.755,2.755,4,2023-09-20,00:34:00
2.755,2.755,2.755,2.755,1,2023-09-20,00:35:00
2.755,2.756,2.755,2.756,4,2023-09-20,00:36:00
2.756,2.756,2.756,2.756,2,2023-09-20,00:38:00
2.755,2.755,2.754,2.754,3,2023-09-20,00:39:00
2.754,2.754,2.753,2.753,12,2023-09-20,00:43:00
2.753,2.753,2.753,2.753,3,2023-09-20,00:44:00
2.754,2.755,2.754,2.755,4,2023-09-20,00:45:00
2.754,2.754,2.754,2.754,3,2023-09-20,00:47:00
2.755,2.755,2.755,2.755,1,2023-09-20,00:50:00
2.756,2.756,2.754,2.754,6,2023-09-20,00:51:00
2.754,2.754,2.754,2.754,1,2023-09-20,00:52:00
2.754,2.754,2.754,2.754,1,2023-09-20,00:53:00
2.755,2.755,2.755,2.755,2,2023-09-20,00:54:00
2.755,2.755,2.755,2.755,4,2023-09-20,00:58:00
2.754,2.754,2.754,2.754,1,2023-09-20,00:59:00
2.755,2.755,2.755,2.755,5,2023-09-20,01:00:00
2.755,2.755,2.755,2.755,1,2023-09-20,01:01:00
2.755,2.755,2.755,2.755,2,2023-09-20,01:03:00
2.755,2.755,2.755,2.755,3,2023-09-20,01:04:00
2.755,2.755,2.755,2.755,5,2023-09-20,01:06:00
2.755,2.755,2.755,2.755,7,2023-09-20,01:07:00
2.755,2.756,2.755,2.756,5,2023-09-20,01:08:00
2.756,2.763,2.756,2.761,78,2023-09-20,01:17:00
2.76,2.76,2.758,2.759,8,2023-09-20,01:18:00
2.76,2.761,2.757,2.757,30,2023-09-20,01:19:00
2.758,2.758,2.757,2.757,3,2023-09-20,01:20:00
2.757,2.758,2.757,2.758,3,2023-09-20,01:21:00
2.758,2.758,2.757,2.757,5,2023-09-20,01:22:00
2.757,2.757,2.757,2.757,1,2023-09-20,01:23:00
2.757,2.757,2.757,2.757,1,2023-09-20,01:24:00
2.757,2.759,2.757,2.759,4,2023-09-20,01:25:00
2.758,2.758,2.755,2.755,7,2023-09-20,01:26:00
2.756,2.756,2.755,2.755,12,2023-09-20,01:27:00
2.755,2.755,2.753,2.754,13,2023-09-20,01:28:00
2.754,2.755,2.754,2.754,4,2023-09-20,01:29:00
2.755,2.755,2.753,2.753,16,2023-09-20,01:30:00
2.752,2.753,2.752,2.752,11,2023-09-20,01:31:00
