Close,Volume
2.797,0
2.797,1
2.797,3
2.795,18
2.795,3
2.794,14
2.794,1
2.795,1
2.795,1
2.794,2
2.794,3
2.792,19
2.791,1
2.792,22
2.794,4
2.793,3
2.793,1
2.793,1
2.794,19
2.794,20
2.794,2
2.795,1
2.795,1
2.795,18
2.794,2
2.793,17
2.794,10
2.794,4
2.794,3
2.798,28
2.798,33
2.797,15
2.798,7
2.798,36
2.799,3
2.798,12
2.803,35
2.801,13
2.802,17
2.802,13
2.802,3
2.803,5
2.803,2
2.804,4
2.802,9
2.803,1
2.804,27
2.804,24
2.804,8
2.801,19
2.8,10
2.8,0
2.803,2322
2.803,9
2.806,40
2.803,12
2.802,16
2.801,4
2.801,3
2.8,36
2.8,3
2.797,14
2.797,8
2.799,6
2.799,1
2.799,2
2.799,4
2.801,15
2.801,4
2.799,1
2.8,3
2.8,3
2.799,3
2.799,12
2.8,2
2.799,1
2.799,4
2.799,1
2.796,13
2.796,15
2.797,11
2.797,4
2.799,3
2.8,15
2.801,2
2.8,1
2.801,7
2.801,2
2.8,3
2.8,3
2.799,16
2.8,4
2.798,2
2.801,17
2.803,6
2.802,1
2.802,4
2.799,19
2.8,3
2.801,10
2.792,80
2.791,28
2.791,29
2.792,9
2.794,5
2.794,5
2.796,7
2.793,20
2.793,15
2.794,15
2.796,37
2.796,5
2.796,6
2.796,13
2.797,13
2.797,10
2.793,28
2.794,5
2.792,15
2.792,7
2.787,183
2.789,40
2.787,8
2.788,11
2.787,14
2.786,31
2.784,69
2.782,20
2.779,66
2.782,31
2.776,138
2.773,89
2.771,141
2.774,32
2.773,27
2.772,23
2.772,49
2.773,50
2.772,25
2.772,56
2.769,207
2.766,148
2.769,42
2.765,47
2.767,55
2.766,30
2.765,27
2.765,47
2.765,29
2.765,11
2.765,59
2.765,28
2.765,33
2.766,29
2.769,37
2.77,46
2.77,51
2.77,5
2.771,51
2.773,30
2.772,14
2.77,32
2.769,14
2.772,44
2.771,30
2.772,88
2.771,13
2.772,67
2.771,18
2.771,48
2.77,16
2.771,11
2.772,69
2.771,89
2.77,1
2.772,31
2.771,37
2.771,21
2.771,5
2.77,9
2.772,21
2.77,24
2.771,36
2.773,251
2.772,18
2.772,1
2.769,49
2.771,18
2.771,10
2.771,1
2.771,28
2.77,10
2.772,32
2.771,3
2.771,36
2.77,9
2.77,41
2.771,10
2.771,1
2.769,13
2.767,99
2.768,29
2.768,6
2.768,37
2.768,7
2.768,10
2.77,87
2.769,7
2.768,29
2.768,12
2.771,75
2.77,20
2.77,30
2.77,18
2.768,28
2.768,5
2.769,8
2.768,39
2.768,42
2.768,1
2.768,27
2.769,34
2.768,7
2.769,19
2.767,9
2.768,37
2.767,2
2.769,14
2.77,27
2.77,27
2.77,14
2.771,9
2.77,43
2.772,43
2.772,10
2.773,62
2.771,23
2.771,5
2.77,36
2.771,1
2.771,16
2.779,187
2.784,195
2.781,44
2.781,19
2.778,23
2.781,53
2.779,48
2.777,2
2.778,25
2.777,11
2.776,9
2.776,13
2.778,13
2.778,2
2.778,18
2.774,75
2.774,12
2.772,17
2.774,6
2.773,14
2.775,15
2.775,16
2.774,10
2.779,72
2.779,20
2.78,4
2.781,28
2.783,20
2.782,21
2.781,16
2.781,12
2.78,21
2.779,26
2.78,10
2.78,1
2.78,41
2.78,25
2.778,28
2.78,42
2.782,29
2.776,105
2.783,146
2.784,31
2.784,4
2.783,6
2.783,5
2.783,23
2.784,9
2.786,11
2.789,28
2.787,57
2.787,14
2.784,141
2.781,10
2.782,2
2.782,1
2.778,89
2.78,14
2.781,3
2.779,14
2.779,1
2.776,28
2.78,16
2.78,2
2.774,12
2.775,1
2.776,3
2.774,24
2.775,10
2.775,12
2.776,2
2.774,3
2.776,15
2.776,1
2.774,22
2.774,11
2.775,5
2.775,4
2.773,8
2.774,27
2.774,2
2.775,8
2.774,3
2.776,11
2.777,26
2.776,1
2.777,6
2.777,7
2.778,3
2.778,1
2.777,24
2.777,3
2.772,127
2.773,41
2.772,6
2.772,34
2.772,1
2.773,3
2.772,8
2.772,28
2.771,6
2.769,11
2.771,20
2.772,2
2.772,7
2.772,11
2.774,11
2.775,2
2.775,18
2.774,12
2.774,3
2.775,4
2.77,22
2.771,4
2.772,9
2.772,37
2.774,8
2.775,12
2.773,36
2.773,19
2.779,86
2.779,20
2.778,12
2.779,23
2.786,69
2.785,8
2.787,32
2.79,20
2.786,8
2.786,33
2.786,14
2.785,35
2.781,40
2.78,32
2.78,2
2.782,9
2.78,8
2.779,22
2.779,5
2.78,33
2.782,5
2.781,2
2.782,17
2.781,24
2.782,15
2.78,62
2.78,2
2.777,64
2.776,106
2.771,83
2.771,68
2.766,334
2.766,89
2.764,109
2.766,72
2.765,27
2.765,40
2.765,67
2.766,33
2.766,1
2.766,20
2.765,2
2.761,326
2.763,56
2.763,53
2.764,37
2.763,23
2.762,41
2.763,18
2.766,63
2.766,26
2.765,9
2.764,23
2.765,31
2.764,12
2.768,47
2.767,29
2.768,7
2.772,50
2.773,38
2.773,28
2.772,49
2.771,32
2.776,109
2.775,25
2.773,36
2.774,17
2.773,19
2.763,247
2.769,558
2.766,77
2.762,69
2.765,77
2.759,403
2.759,98
2.761,67
2.763,41
2.771,200
2.774,136
2.773,123
2.773,151
2.771,84
2.766,102
2.769,184
2.774,145
2.778,149
2.778,90
2.776,329
2.775,112
2.775,40
2.774,31
2.775,39
2.775,44
2.774,100
2.772,25
2.772,35
2.775,61
2.78,103
2.779,63
2.777,60
2.774,136
2.774,40
2.778,47
2.779,63
2.779,38
2.782,174
2.781,104
2.78,135
2.78,120
2.782,653
2.788,206
2.785,108
2.786,205
2.788,21
2.785,228
2.784,182
2.785,81
2.783,92
2.778,190
2.772,394
2.775,93
2.768,177
2.771,111
2.773,114
2.772,71
2.769,95
2.768,53
2.768,119
2.776,942
2.778,250
2.78,170
2.775,560
2.771,445
2.775,189
2.774,89
2.777,328
2.776,347
2.777,135
2.78,389
2.779,120
2.775,239
2.777,55
2.779,300
2.779,278
2.783,350
2.776,236
2.771,316
2.776,170
2.775,164
2.776,178
2.777,75
2.774,107
2.776,168
2.772,534
2.772,151
2.773,210
2.771,136
2.772,320
2.765,306
2.761,353
2.763,596
2.765,265
2.767,302
2.77,207
2.767,275
2.769,62
2.767,101
2.77,115
2.771,118
2.768,183
2.767,171
2.765,149
2.766,143
2.765,215
2.762,213
2.76,217
2.762,584
2.765,372
2.763,244
2.763,225
2.761,100
2.76,172
2.762,175
2.762,143
2.763,84
2.765,333
2.766,174
2.768,71
2.772,249
2.775,387
2.775,87
2.782,434
2.781,554
2.776,270
2.78,150
2.783,191
2.784,177
2.784,290
2.791,694
2.794,892
2.798,248
2.803,1038
2.805,1033
2.811,432
2.81,746
2.811,507
2.813,319
2.824,1060
2.815,530
2.816,853
2.819,425
2.825,528
2.822,253
2.822,173
2.835,808
2.832,410
2.828,413
2.83,251
2.829,501
2.83,243
2.828,225
2.822,423
2.827,377
2.825,160
2.822,224
2.818,248
2.822,167
2.822,77
2.822,256
2.819,297
2.815,180
2.817,183
2.816,71
2.817,200
2.818,92
2.818,657
2.819,401
2.82,78
2.82,275
2.819,167
2.82,80
2.827,437
2.829,446
2.834,526
2.837,367
2.842,1247
2.841,357
2.84,368
2.834,374
2.834,813
2.834,781
2.833,245
2.829,277
2.836,307
2.831,147
2.83,789
2.832,207
2.83,179
2.831,160
2.823,357
2.825,182
2.824,124
2.817,669
2.819,418
2.818,163
2.816,194
2.816,191
2.814,591
2.813,682
2.816,345
2.817,210
2.816,1135
2.816,951
2.821,424
2.823,221
2.827,443
2.825,274
2.822,109
2.819,159
2.818,395
2.819,182
2.82,135
2.815,574
2.815,559
2.812,564
2.813,439
2.815,339
2.816,70
2.816,53
2.822,142
2.819,112
2.82,147
2.82,158
2.822,79
2.82,1031
2.82,183
2.822,127
2.828,204
2.825,310
2.831,651
2.836,335
2.834,224
2.833,157
2.833,159
2.835,177
2.835,152
2.835,77
2.835,53
2.834,150
2.833,175
2.83,327
2.83,98
2.831,162
2.83,37
2.828,148
2.828,457
2.828,118
2.828,145
2.825,124
2.825,105
2.822,182
2.82,75
2.819,382
2.82,100
2.818,94
2.818,158
2.819,113
2.818,48
2.818,61
2.814,316
2.812,138
2.813,0
2.815,83651
2.814,303
2.815,52
2.815,145
2.809,351
2.812,161
2.812,67
2.812,40
2.814,96
2.814,110
2.816,358
2.815,96
2.818,142
2.816,211
2.817,193
2.824,360
2.822,181
2.821,76
2.82,48
2.825,163
2.827,132
2.83,179
2.831,149
2.833,126
2.833,218
2.832,214
2.829,122
2.83,73
2.829,22
2.832,52
2.829,262
2.832,146
2.832,73
2.832,94
2.831,137
2.832,171
2.83,183
2.831,155
2.826,133
2.829,90
2.828,149
2.83,29
2.827,188
2.826,62
2.827,65
2.826,63
2.824,153
2.825,100
2.826,138
2.826,78
2.823,82
2.826,97
2.825,83
2.825,91
2.824,124
2.825,254
2.82,202
2.819,114
2.817,237
2.82,448
2.818,162
2.82,132
2.816,173
2.818,107
2.817,100
2.816,131
2.816,148
2.815,440
2.816,100
2.813,112
2.812,198
2.817,466
2.819,112
2.819,91
2.82,78
2.821,32
2.82,210
2.82,62
2.824,117
2.824,97
2.821,259
2.822,57
2.819,157
2.816,140
2.818,126
2.819,89
2.816,44
2.815,91
2.814,71
2.816,126
2.814,183
2.807,506
2.805,193
2.808,223
2.807,78
2.81,197
2.809,103
2.809,53
2.806,300
2.807,86
2.817,727
2.813,381
2.813,50
2.822,932
2.819,197
2.819,245
2.82,129
2.821,769
2.818,249
2.814,339
2.815,84
2.819,275
2.822,274
2.82,109
2.823,840
2.827,757
2.823,571
2.826,350
2.822,445
2.824,283
2.822,258
2.821,408
2.815,2287
2.814,2233
2.809,801
2.812,325
2.813,214
2.818,187
2.816,87
2.811,207
2.81,94
2.81,53
2.808,91
2.807,428
2.805,372
2.806,302
