Open,High,Low,Close,Volume,Date,Hour
2.586,2.586,2.586,2.586,0,2023-09-08,00:02:00
2.586,2.586,2.586,2.586,1,2023-09-08,00:04:00
2.587,2.587,2.587,2.587,1,2023-09-08,00:06:00
2.587,2.587,2.587,2.587,4,2023-09-08,00:07:00
2.587,2.587,2.586,2.586,2,2023-09-08,00:08:00
2.587,2.587,2.587,2.587,1,2023-09-08,00:10:00
2.586,2.586,2.586,2.586,3,2023-09-08,00:12:00
2.587,2.588,2.587,2.587,13,2023-09-08,00:13:00
2.587,2.587,2.587,2.587,1,2023-09-08,00:14:00
2.588,2.588,2.588,2.588,1,2023-09-08,00:15:00
2.588,2.588,2.587,2.587,5,2023-09-08,00:17:00
2.587,2.587,2.587,2.587,3,2023-09-08,00:18:00
2.587,2.587,2.587,2.587,1,2023-09-08,00:22:00
2.587,2.587,2.587,2.587,1,2023-09-08,00:23:00
2.587,2.588,2.587,2.588,5,2023-09-08,00:25:00
2.587,2.587,2.587,2.587,5,2023-09-08,00:27:00
2.587,2.587,2.587,2.587,3,2023-09-08,00:28:00
2.587,2.587,2.587,2.587,1,2023-09-08,00:29:00
2.587,2.587,2.587,2.587,1,2023-09-08,00:30:00
2.587,2.587,2.587,2.587,1,2023-09-08,00:31:00
2.587,2.587,2.586,2.586,8,2023-09-08,00:35:00
2.586,2.586,2.586,2.586,5,2023-09-08,00:36:00
2.587,2.59,2.584,2.589,168,2023-09-08,00:38:00
2.59,2.594,2.587,2.591,98,2023-09-08,00:39:00
2.59,2.592,2.59,2.591,93,2023-09-08,00:40:00
2.592,2.592,2.592,2.592,1,2023-09-08,00:41:00
2.592,2.593,2.592,2.592,19,2023-09-08,00:42:00
2.593,2.594,2.592,2.592,56,2023-09-08,00:43:00
2.592,2.592,2.592,2.592,2,2023-09-08,00:44:00
2.592,2.592,2.592,2.592,1,2023-09-08,00:45:00
2.592,2.592,2.592,2.592,5,2023-09-08,00:46:00
2.591,2.591,2.591,2.591,5,2023-09-08,00:47:00
2.591,2.591,2.591,2.591,1,2023-09-08,00:49:00
2.591,2.591,2.591,2.591,2,2023-09-08,00:50:00
2.591,2.592,2.591,2.592,3,2023-09-08,00:51:00
2.593,2.593,2.592,2.592,4,2023-09-08,00:52:00
2.592,2.593,2.592,2.593,8,2023-09-08,00:53:00
2.592,2.592,2.592,2.592,6,2023-09-08,00:55:00
2.592,2.593,2.592,2.593,5,2023-09-08,00:56:00
2.594,2.594,2.594,2.594,3,2023-09-08,00:57:00
2.593,2.593,2.593,2.593,1,2023-09-08,00:58:00
2.593,2.593,2.593,2.593,6,2023-09-08,00:59:00
2.593,2.594,2.593,2.594,3,2023-09-08,01:01:00
2.593,2.593,2.593,2.593,12,2023-09-08,01:02:00
2.593,2.594,2.593,2.594,2,2023-09-08,01:03:00
2.594,2.594,2.594,2.594,2,2023-09-08,01:06:00
2.594,2.596,2.594,2.595,24,2023-09-08,01:08:00
2.594,2.597,2.593,2.597,16,2023-09-08,01:09:00
2.596,2.596,2.596,2.596,6,2023-09-08,01:10:00
2.596,2.597,2.595,2.595,5,2023-09-08,01:11:00
2.596,2.596,2.596,2.596,3,2023-09-08,01:13:00
2.596,2.597,2.596,2.597,21,2023-09-08,01:14:00
2.597,2.597,2.596,2.596,3,2023-09-08,01:15:00
2.596,2.596,2.596,2.596,1,2023-09-08,01:17:00
2.596,2.597,2.596,2.597,20,2023-09-08,01:18:00
2.596,2.597,2.596,2.597,8,2023-09-08,01:19:00
2.596,2.597,2.596,2.597,3,2023-09-08,01:21:00
2.597,2.598,2.597,2.598,7,2023-09-08,01:22:00
2.597,2.598,2.597,2.597,15,2023-09-08,01:23:00
2.596,2.596,2.596,2.596,4,2023-09-08,01:24:00
2.596,2.597,2.596,2.597,4,2023-09-08,01:26:00
2.596,2.596,2.596,2.596,1,2023-09-08,01:27:00
2.597,2.597,2.597,2.597,1,2023-09-08,01:28:00
2.597,2.597,2.597,2.597,12,2023-09-08,01:29:00
2.597,2.597,2.596,2.596,3,2023-09-08,01:30:00
2.596,2.596,2.596,2.596,1,2023-09-08,01:31:00
2.596,2.596,2.595,2.595,4,2023-09-08,01:32:00
2.595,2.597,2.595,2.597,12,2023-09-08,01:34:00
2.597,2.597,2.596,2.596,4,2023-09-08,01:35:00
2.596,2.597,2.596,2.597,9,2023-09-08,01:36:00
2.597,2.599,2.597,2.599,43,2023-09-08,01:37:00
2.6,2.6,2.6,2.6,13,2023-09-08,01:38:00
2.6,2.6,2.6,2.6,11,2023-09-08,01:39:00
2.6,2.6,2.6,2.6,9,2023-09-08,01:40:00
2.6,2.601,2.6,2.6,13,2023-09-08,01:41:00
2.6,2.601,2.6,2.6,13,2023-09-08,01:42:00
2.601,2.601,2.6,2.6,15,2023-09-08,01:43:00
2.6,2.602,2.6,2.602,28,2023-09-08,01:44:00
2.603,2.604,2.603,2.603,17,2023-09-08,01:45:00
2.604,2.604,2.603,2.603,12,2023-09-08,01:46:00
2.604,2.604,2.603,2.603,6,2023-09-08,01:47:00
2.604,2.604,2.604,2.604,4,2023-09-08,01:48:00
2.604,2.604,2.601,2.601,24,2023-09-08,01:49:00
2.601,2.602,2.601,2.602,7,2023-09-08,01:50:00
2.603,2.604,2.603,2.604,5,2023-09-08,01:51:00
2.604,2.605,2.603,2.604,64,2023-09-08,01:52:00
2.604,2.604,2.603,2.603,11,2023-09-08,01:53:00
2.603,2.603,2.602,2.603,9,2023-09-08,01:54:00
2.603,2.604,2.602,2.604,5,2023-09-08,01:56:00
2.603,2.603,2.603,2.603,1,2023-09-08,01:57:00
2.603,2.603,2.602,2.602,11,2023-09-08,01:59:00
2.604,2.61,2.603,2.609,95,2023-09-08,02:00:00
2.609,2.609,2.605,2.606,18,2023-09-08,02:01:00
2.606,2.608,2.606,2.607,13,2023-09-08,02:02:00
2.607,2.608,2.606,2.606,22,2023-09-08,02:03:00
2.608,2.608,2.608,2.608,7,2023-09-08,02:04:00
2.609,2.611,2.609,2.611,18,2023-09-08,02:05:00
2.61,2.611,2.61,2.611,16,2023-09-08,02:06:00
2.611,2.611,2.61,2.611,7,2023-09-08,02:07:00
2.611,2.624,2.611,2.62,428,2023-09-08,02:08:00
2.62,2.622,2.618,2.618,60,2023-09-08,02:09:00
2.618,2.62,2.618,2.619,60,2023-09-08,02:10:00
2.619,2.62,2.617,2.617,46,2023-09-08,02:11:00
2.618,2.618,2.616,2.618,42,2023-09-08,02:12:00
