Close,Volume
2.636,0
2.637,11
2.637,54
2.636,15
2.637,24
2.637,18
2.638,35
2.634,48
2.634,7
2.634,13
2.635,15
2.634,12
2.638,24
2.634,18
2.633,21
2.635,10
2.637,11
2.632,30
2.633,11
2.635,26
2.633,15
2.633,11
2.631,19
2.631,10
2.632,25
2.632,16
2.632,8
2.632,23
2.636,30
2.635,12
2.636,30
2.637,32
2.634,13
2.632,16
2.633,27
2.632,45
2.635,68
2.637,46
2.639,33
2.638,168
2.644,70
2.643,62
2.65,323
2.652,135
2.647,87
2.651,223
2.648,70
2.651,86
2.653,292
2.654,81
2.656,172
2.654,70
2.655,26
2.652,81
2.653,12
2.653,136
2.649,26
2.654,49
2.654,23
2.657,76
2.657,97
2.657,41
2.657,32
2.656,240
2.664,165
2.661,361
2.659,0
2.662,236
2.661,147
2.665,382
2.662,58
2.662,9
2.66,49
2.658,86
2.659,35
2.663,71
2.665,83
2.663,62
2.667,84
2.665,41
2.666,53
2.665,80
2.665,35
2.668,189
2.677,968
2.675,137
2.675,233
2.677,683
2.679,455
2.681,272
2.683,529
2.682,617
2.673,953
2.671,410
2.679,329
2.676,343
2.674,1167
2.679,434
2.679,338
2.682,633
2.679,856
2.687,443
2.699,1939
2.698,1189
2.7,571
2.701,1072
2.71,1435
2.7,1365
2.716,4136
2.732,2960
2.739,4859
2.746,2068
2.744,2268
2.738,2312
2.728,3777
2.736,1715
2.729,1352
2.725,1656
2.729,1728
2.732,1321
2.744,1598
2.743,901
2.74,1779
2.741,1292
2.732,2308
2.73,1689
2.722,5915
2.737,2982
2.749,1302
2.748,1918
2.754,2556
2.76,1693
2.769,2249
2.756,1886
2.765,3037
2.765,1170
2.77,2226
2.768,1200
2.768,1672
2.764,1102
2.773,1577
2.767,957
2.774,2005
2.773,2228
2.766,1939
2.776,1603
2.774,940
2.77,757
2.764,1313
2.768,1814
2.773,704
2.772,992
2.775,678
2.771,1283
2.776,1325
2.786,1740
2.78,1402
2.78,774
2.769,2188
2.738,3926
2.749,1381
2.749,805
2.748,1499
2.748,771
2.751,1091
2.745,876
2.748,1113
2.754,1518
2.757,1183
2.761,1256
2.763,775
2.767,1672
2.768,1282
2.756,6789
2.75,1728
2.754,1123
2.749,457
2.746,503
2.748,153
2.743,358
2.743,217
2.744,251
2.745,275
2.741,433
2.742,309
2.742,412
2.742,162
2.743,218
2.74,355
2.741,331
2.741,181
2.74,134
2.74,57
2.741,63
2.74,61
2.742,67
2.741,40
2.744,484
2.744,252
2.747,168
2.743,138
2.739,645
2.742,90
2.749,184
2.744,0
2.744,23
2.742,17
2.745,28
2.744,51
2.745,9
2.747,18
2.746,16
2.748,8
2.747,3
2.747,4
2.747,7
2.747,15
2.748,6
2.747,202
2.748,1
2.747,2
2.75,14
2.751,5
2.751,8
2.743,66
2.742,19
2.744,10
2.744,6
2.74,26
2.746,37
2.743,16
2.741,5
2.742,13
2.743,3
2.743,8
2.745,9
2.743,41
2.743,4
2.742,37
2.742,12
2.742,10
2.742,6
2.741,6
2.741,28
2.744,4
2.742,9
2.744,27
2.747,10
2.747,29
2.746,8
2.747,8
2.746,27
2.746,1
2.745,5
2.744,4
