Close,Volume
2.735,0
2.734,1
2.734,8
2.734,8
2.735,4
2.735,2
2.734,12
2.735,1
2.735,7
2.735,11
2.735,2
2.735,1
2.735,6
2.735,2
2.735,62
2.735,5
2.735,1
2.735,3
2.735,9
2.737,16
2.737,2
2.736,2
2.735,13
2.735,12
2.735,2
2.737,7
2.737,1
2.736,5
2.735,3
2.735,1
2.736,5
2.735,8
2.735,9
2.735,1
2.737,3
2.737,16
2.737,3
2.738,2
2.738,1
2.738,1
2.738,2
2.738,1
2.737,1
2.735,9
2.735,1
2.735,1
2.735,2
2.735,1
2.735,2
2.735,2
2.736,2
2.736,1
2.735,10
2.734,1
2.735,1
2.735,7
2.735,5
2.736,3
2.735,12
2.735,2
2.735,36
2.735,3
2.735,8
2.735,1
2.735,2
2.736,6
2.736,9
2.736,15
2.735,14
2.735,3
2.735,1
2.735,1
2.736,8
2.736,1
2.736,2
2.738,7
2.737,2
2.738,2
2.737,2
2.737,3
2.738,6
2.738,3
2.736,22
2.735,7
2.737,8
2.736,2
2.738,3
2.736,29
2.741,27
2.745,44
2.74,36
2.74,5
2.74,4
2.74,4
2.739,8
2.741,20
2.739,9
2.737,21
2.737,8
2.738,4
2.738,7
2.739,12
2.738,4
2.737,14
2.738,6
2.738,3
2.737,8
2.736,40
2.737,5
2.738,1
2.737,14
2.737,12
2.737,28
2.738,2
2.74,7
2.738,9
2.738,5
2.737,13
2.737,4
2.737,1
2.738,7
2.736,24
2.737,10
2.738,20
2.738,3
2.738,2
2.74,28
2.739,7
2.737,32
2.739,10
2.739,11
2.738,5
2.738,3
2.74,5
2.738,14
2.738,11
2.74,9
2.742,26
2.739,55
2.74,27
2.741,13
2.739,5
2.741,12
2.744,18
2.743,4
2.744,13
2.744,3
2.744,3
2.745,72
2.744,8
2.744,4
2.744,9
2.742,5
2.742,6
2.742,3
2.743,8
2.744,5
2.739,14
2.738,7
2.737,53
2.737,9
2.74,4
2.739,2
2.738,8
2.738,2
2.737,2
2.737,40
2.737,35
2.737,36
2.74,52
2.739,4
2.739,1
2.74,4
2.738,3
2.738,4
2.738,11
2.737,12
2.737,9
2.737,1
2.742,16
2.738,8
2.735,46
2.737,11
2.737,1
2.738,4
2.738,3
2.738,28
2.738,9
2.739,10
2.738,6
2.738,11
2.737,4
2.737,3
2.738,13
2.741,28
2.743,39
2.744,26
2.746,43
2.745,2
2.742,6
2.743,10
2.739,16
2.742,18
2.741,1
2.741,3
2.738,3
2.737,7
2.736,3
2.737,6
2.737,8
2.739,2
2.737,2
2.738,2
2.738,12
2.738,1
2.738,9
2.738,2
2.738,1
